Name,NetChangeinMigration
United States,1286132
Ukraine,1146012
Syrian Arab Republic,546494
United Kingdom,417114
Canada,368599
UAE,278439
Chad,204040
Iran,190156
Malaysia,174770
South Africa,166972
Oman,154219
Japan,153357
Colombia,141643
Australia,138510
Egypt,123884
Saudi Arabia,122170
Netherlands,121628
Spain,111674
Italy,95246
France,90527
South Korea,75963
Kuwait,61624
Chile,58316
Sweden,50115
Qatar,46105
Norway,44356
Switzerland,40099
Ireland,39059
Germany,36954
Belgium,36243
Ethiopia,30069
Finland,26894
Somalia,26859
Denmark,25639
Thailand,23321
Bahrain,22699
Portugal,20648
Singapore,20011
New Zealand,18766
Peru,18406
Hungary,16223
South Sudan,15374
Turkmenistan,14646
Puerto Rico,11561
Azerbaijan,10864
Israel,10612
Austria,8813
Cyprus,8138
Zambia,7381
Panama,6706
Malta,6323
Luxembourg,5677
Namibia,4211
Equatorial Guinea,3891
Kyrgyz Republic,3645
Iceland,3543
Argentina,3454
Libya,3448
Slovenia,3319
Lithuania,2617
Seychelles,1747
Georgia,1745
Macao,1620
Solomon Islands,1610
Trinidad and Tobago,1334
Gabon,1105
Bahamas,1018
Andorra,988
Costa Rica,967
Cayman Islands,896
Channel Islands,747
Gibraltar,598
Sint Maarten (Dutch part),558
Bulgaria,524
Curacao,513
Belize,490
Faroe Islands,488
New Caledonia,455
British Virgin Islands,212
Liechtenstein,206
Isle of Man,177
Turks and Caicos Islands,176
Aruba,141
Monaco,110
Mongolia,83
San Marino,37
Antigua and Barbuda,9
Brunei,0
Bermuda,-5
St. Kitts and Nevis,-7
St. Lucia,-7
Djibouti,-11
Palau,-14
Vanuatu,-43
Barbados,-70
Nauru,-121
Grenada,-192
Dominica,-200
Bhutan,-277
Tuvalu,-280
Greenland,-284
Virgin Islands (U.S.),-420
Kiribati,-471
Guam,-504
Sao Tome and Principe,-604
Papua New Guinea,-707
St. Vincent and the Grenadines,-737
Northern Mariana Islands,-1097
Micronesia,-1104
American Samoa,-1110
Suriname,-1166
Cabo Verde,-1209
French Polynesia,-1261
Uruguay,-1348
St. Martin (French part),-1424
Malawi,-1507
Montenegro,-1686
Guinea-Bissau,-1712
Marshall Islands,-1765
Madagascar,-1795
Comoros,-2051
Tonga,-2149
Mauritania,-2185
Latvia,-2225
Maldives,-2421
North Korea,-2473
Republic of Congo,-2491
Timor-Leste,-2552
Angola,-2629
Samoa,-2754
Mauritius,-2787
Gambia,-2989
Bolivia,-3000
Belarus,-3119
Fiji,-3278
Niger,-4041
Bosnia,-4497
Honduras,-4821
Lesotho,-5107
Croatia,-5186
Guyana,-5407
North Macedonia,-5728
Botswana,-5778
Eswatini,-6754
Uzbekistan,-7066
Kazakhstan,-7368
Benin,-7725
Guatemala,-7725
Estonia,-7742
Liberia,-7779
Serbia,-8132
Nicaragua,-8189
Lao PDR,-10284
Senegal,-10307
Yemen,-10482
Jamaica,-10506
Sierra Leone,-11000
Guinea,-12024
Paraguay,-12451
Eritrea,-12696
Ghana,-13114
Cameroon,-13892
Togo,-14014
Tunisia,-15221
Central African Republic,-15357
Rwanda,-15582
Lebanon,-17267
Iraq,-17735
Hong Kong,-19272
Ecuador,-19704
Kenya,-19781
Slovak Republic,-21027
Tajikistan,-21236
Kosovo,-22178
Cuba,-22356
El Salvador,-23102
West Bank and Gaza,-23145
Albania,-24472
Burkina Faso,-25807
Democratic Republic of Congo,-26968
Burundi,-27074
Moldova,-27088
Sri Lanka,-27245
Romania,-28466
Tanzania,-29865
Armenia,-29966
Algeria,-31240
Haiti,-31747
Cambodia,-32960
Dominican Republic,-34806
Nigeria,-35202
Myanmar,-37979
Indonesia,-38469
Mozambique,-38940
Afghanistan,-44089
Morocco,-46802
Mali,-46880
Vietnam,-59645
Zimbabwe,-60528
Czech Republic,-86169
Mexico,-104581
Venezuela,-105297
Uganda,-117924
Greece,-122772
Jordan,-156369
Philippines,-160373
Russia,-178042
Brazil,-225510
Poland,-238062
Turkey,-275952
China,-318992
Nepal,-401282
Bangladesh,-473362
Sudan,-544257
India,-630830
Pakistan,-1401173
